,relation_0,relation_1,relation_2,relation_3,relation_4,relation_5,sex,LogAge,LogFnlwgt,LogHr,LogScaledExtra_income,live_with_spouse,workclass_1,workclass_2,workclass_3,workclass_4,workclass_5,races,native.countries,occupations_1,occupations_2,occupations_3,edulevel_1,edulevel_2,edulevel_3,edulevel_4,edulevel_5,edulevel_6,income
1,0,1,0,0,0,0,0,4.49980967,11.25224878,3.688879454,-5.433061018,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
2,0,1,0,0,0,0,0,4.406719247,11.79712649,2.890371758,-5.433061018,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
3,0,0,0,0,1,0,0,4.189654742,12.13382986,3.688879454,-5.433061018,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
4,0,0,0,0,1,0,0,3.988984047,11.85195871,3.688879454,-5.433061018,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
5,0,0,0,1,0,0,0,3.713572067,12.4862126,3.688879454,-5.433061018,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
6,0,0,0,0,1,0,0,3.526360525,12.28702571,3.80666249,-5.182234037,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
7,0,0,0,0,1,0,1,3.63758616,11.92238923,3.688879454,-5.182234037,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
8,0,0,1,0,0,0,0,4.304065093,11.39231594,2.995732274,-5.043808497,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
9,0,1,0,0,0,0,0,4.219507705,12.9527914,3.688879454,-5.043808497,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
10,0,0,0,0,1,0,1,3.713572067,11.15677895,4.094344562,-4.34621357,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
11,0,0,0,0,1,0,0,3.80666249,12.05684151,3.555348061,-4.34621357,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
